Table 1. Sampling for Euphoniinae species and outgroups.,,,,,,,,,
Specie,Country,Catalog number,Collection,NextRAD,ND2,,,,
Fringilla montifringilla,Suecia,DOT 20978,AMNH,O,O,,,,
Fringilla coelebs,España,16-129,Borja,O,O,,,,
Fringilla coelebs,Suecia,DOT 20961,AMNH,O,O,,,,
Chlorophonia c. cyanea,Paraguay,91216,KU,O,O,,,,
Chlorophonia c. cyanea,Paraguay,88482,KU,O,O,,,,
Chlorophonia cyanea,Perú,B27826,LSUMNS,O,O,,,,
Chlorophonia callophrys,Costa Rica,B27273,LSUMNS,O,O,,,,
Chlorophonia callophrys,Costa Rica,B72212,LSUMNS,O,O,,,,
Chlorophonia cyanea,Perú,474515,FMNH,O,O,,,,
Chlorophonia cyanea,Perú,433910,FMNH,O,O,,,,
Chlorophonia flavirostris,Ecuador,B30015,LSUMNS,O,O,,,,
Chlorophonia flavirostris,Ecuador,B11778,LSUMNS,O,O,,,,
Chlorophonia occipitalis,México,MISA 068,MZFC,O,O,,,,
Chlorophonia occpitalis,Costa Rica,B19863,LSUMNS,O,O,,,,
Chlorophonia pyrrhophrys,Ecuador,B6223,LSUMNS,O,O,,,,
Chlorophonia pyrrhophrys,Perú,B32512,LSUMNS,O,O,,,,
Cocothrauthes abellei,México,JCN046,MZFC,O,X,,,,
Cocothrauthes abellei,México,RAY11023,MZFC,O,X,,,,
Euphonia a. affinis,El Salvador,9346,KU,O,O,,,,
Euphonia a. affinis,México,1983,KU,O,O,,,,
Euphonia a. affinis,México,2099,KU,O,O,,,,
Euphonia a. affinis,México,CONACYT,MZFC,O,O,,,,
Euphonia a. godmani,México,VGR1189,MZFC,O,O,,,,
Euphonia a. godmani,México,ORT 003,MZFC,O,O,,,,
Euphonia a. godmani,México,VGR 1073,LSUMNS,O,O,,,,
Euphonia anneae,Costa Rica,B16031,LSUMNS,O,O,,,,
Euphonia anneae,Costa Rica,B72236,LSUMNS,O,O,,,,
Euphonia anneae,Panama,B26491,LSUMNS,O,O,,,,
Euphonia cayennensis,Guyana,08-0807,BORJA,O,O,,,,
Euphonia cayennensis,Guyana,21809,ANSP,O,O,,,,
Euphonia chalybea (Toe pads),Argentina,797902,AMNH,,,,,,
Euphonia chalybea (Toe pads),Argentina,797903,AMNH,,,,,,
Euphonia chlorotica,Paraguay,3226,KU,O,O,,,,
Euphonia chlorotica,Perú,B33430,LSUMNS,O,O,,,,
Euphonia chlorotica,Paraguay,3230,KU,O,O,,,,
Euphonia chlorotica,Bolivia,B15102,LSUMNS,O,O,,,,
Euphonia chlorotica,Paraguay,3199,KU,O,O,,,,
Euphonia chlorotica,Brasil,392636,FMNH,O,O,,,,
Euphonia chrysopasta,Bolivia,B12361,LSUMNS,O,O,,,,
Euphonia chrysopasta,Ecuador,16380,ANSP,O,O,,,,
Euphonia chrysopasta,Brasil,390049,FMNH,O,O,,,,
Euphonia chrysopasta,Perú,433905,FMNH,O,O,,,,
Euphonia chrysopasta,Guyana,21355,ANSP,X,O,,,,
Euphonia cyanocephala,Bolivia,B38380,LSUMNS,O,O,,,,
Euphonia cyanocephala,Bolivia,B38488,LSUMNS,X,O,,,,
Euphonia cyanocephala,Bolivia,B38489,LSUMNS,O,O,,,,
Euphonia conncina (Toe pads),Colombia,181789,AMNH,X,X,,,,
Euphonia conncina (Toe pads),Colombia,308760,AMNH,X,X,,,,
Euphonia elegantissima,México,AGM 085,MZFC,O,X,,,,
Euphonia elegantissima,Costa Rica,B72152,LSUMNS,O,O,,,,
Euphonia finschi,Brasil,389276,FMNH,O,O,,,,
Euphonia finschi,Guiana,21424,ANSP,O,O,,,,
Euphonia finschi,Guiana,21423,ANSP,O,O,,,,
Euphonia fulvicrisa,Panamá,B19263,LSUMNS,X,O,,,,
Euphonia fulvicrisa,Panamá,B28780,LSUMNS,O,O,,,,
Euphonia gouldi,Costa Rica,B72245,LSUMNS,O,O,,,,
Euphonia gouldi,México,CHIMA 320,MZFC,O,O,,,,
Euphonia hirundinacea,México,TXT 27,MZFC,O,O,,,,
Euphonia hirundinacea,México,MISA 110,MZFC,O,X,,,,
Euphonia imitans,Costa Rica,B71975,LSUMNS,O,O,,,,
Euphonia jamaica,Jamaica,331116,FMNH,O,O,,,,
Euphonia jamaica,Jamaica,331115,FMNH,O,O,,,,
Euphonia l. crassirostris,Panamá,B28567,LSUMNS,O,O,,,,
Euphonia laniirostris,Brasil,390050,FMNH,O,O,,,,
Euphonia laniirostris,Panamá,B28567,LSUMNS,,O,,,,
Euphonia laniirostris,Perú,474504,FMNH,O,O,,,,
Euphonia luteicapilla,Panamá,B28423,LSUMNS,O,O,,,,
Euphonia luteicapilla,Panamá,B28445,LSUMNS,O,O,,,,
Euphonia luteicapilla,Costa Rica,B16078,LSUMNS,O,O,,,,
Euphonia luteicapilla,Panamá,B28424,LSUMNS,O,O,,,,
Euphonia mesochrysa,Perú,474505,FMNH,O,O,,,,
Euphonia mesochrysa,Bolivia,B22721,LSUMNS,O,O,,,,
Euphonia minuta,Brasil,390051,FMNH,O,O,,,,
Euphonia minuta,Bolivia,B9714,LSUMNS,O,X,,,,
Euphonia minuta,Ecuador,16646,ANSP,,O,,,,
Euphonia minuta,Perú,474508,FMNH,O,O,,,,
Euphonia musica,DR,95132,KU,O,O,,,,
Euphonia musica,DR,95133,KU,O,O,,,,
Euphonia cyanocephala,Perú,B5592,LSUMNS,O,O,,,,
Euphonia musica,Puerto Rico,11319,KU,O,O,,,,
Euphonia musica,Puerto Rico,11337,KU,O,O,,,,
Euphonia cyanocephala,Bolivia,B12875,LSUMNS,O,O,,,,
Euphonia pectoralis,Brasil,427270,FMNH,O,X,,,,
Euphonia pectoralis,Brasil,427269,FMNH,O,O,,,,
Euphonia plumbea,Guiana,21372,ANSP,O,O,,,,
Euphonia plumbea,Brasil,B25459,LSUMNS,O,O,,,,
Euphonia rufiventris,Bolivia,B1176,LSUMNS,O,O,,,,
Euphonia rufiventris,Brasil,457595,FMNH,O,O,,,,
Euphonia xanthogaster,Bolivia,41775,FMNH,O,X,,,,
Euphonia xanthogaster,Bolivia,B39186,LSUMNS,O,O,,,,
Euphonia xanthogaster,Perú,473860,FMNH,O,O,,,,
Euphonia xanthogaster,Panamá,B2157,LSUMNS,O,O,,,,
Euphonia xanthogaster,Perú,B10698,LSUMNS,O,O,,,,
Euphonia xanthogaster,Perú,B21214,LSUMNS,O,O,,,,
Euphonia saturata,Perú,B67621,LSUMNS,O,O,,,,
Euphonia saturata,Ecuador,19715,ANSP,O,X,,,,
Euphonia trinitatis (Toe pads),Venezuela,121134,AMNH,,X,,,,
Euphonia trinitatis (Toe pads),Venezuela,121136,AMNH,,X,,,,
Euphonia violacea,Guiana,21739,ANSP,O,O,,,,
Euphonia violacea,TYT,B35986,LSUMNS,O,O,,,,
Euphonia violacea,Guiana,21748,ANSP,O,O,,,,
Euphonia violacea,Brasil,427255,FMNH,O,O,,,,
Euphonia violacea,Brasil,427264,FMNH,O,O,,,,
Haemothrous mexicanus,México,CPM357,MZFC,O,O,,,,
Passer domesticus,México,DONA 1408,MZFC,O,O,,,,
Rhodinocichla rosea,México,URRA4120,MZFC,O,X,,,,
O= Obtained Sequences X= No obtained sequences.,,,,,,,,,