Blue-naped Chlorophonia,Chlorophonia cyanea
,"Pipra cyanea (Thunberg, 1822)"
,Mem.Acad.Imp.Sci.St.Petersb. 8 p.284 pl.8 fig.1
Chestnut-breasted Chlorophonia,Chlorophonia pyrrhophrys
,"Euphonia pyrrhophrys P. L. Sclater, 1851, “Bogotá”."
,Monotypic. Contrib.Orn.[Jardine] 2 p.89 pl.75 fig.2
Yellow-collared Chlorophonia,Chlorophonia flavirostris
,P. L. Sclater
,", 1861, "
,"locality unknown, possibly west Ecuador"
,.
Blue-crowned Chlorophonia,Chlorophonia occipitalis
Golden-browed Chlorophonia,Chlorophonia callophrys
Jamaican Euphonia,Euphonia jamaica
Plumbeous Euphonia,Euphonia plumbea
Scrub Euphonia,Euphonia affinis
Scrub Euphonia (Scrub),Euphonia affinis affinis/olmecorum
,Euphonia affinis olmecorum
,Euphonia affinis affinis
Scrub Euphonia (Godman's),Euphonia affinis godmani
Purple-throated Euphonia,Euphonia chlorotica
,Euphonia chlorotica cynophora
,Euphonia chlorotica chlorotica
,Euphonia chlorotica serrirostris
,Euphonia chlorotica taczanowskii
,Euphonia chlorotica amazonica
Yellow-crowned Euphonia,Euphonia luteicapilla
Trinidad Euphonia,Euphonia trinitatis
Velvet-fronted Euphonia,Euphonia concinna
Orange-crowned Euphonia,Euphonia saturata
Finsch's Euphonia,Euphonia finschi
Violaceous Euphonia,Euphonia violacea
,Euphonia violacea rodwayi
,Euphonia violacea violacea
,Euphonia violacea aurantiicollis
Thick-billed Euphonia,Euphonia laniirostris
Thick-billed Euphonia (Black-tailed),Euphonia laniirostris melanura/crassirostris
,Euphonia laniirostris crassirostris
,Euphonia laniirostris melanura
Thick-billed Euphonia (Thick-billed),Euphonia laniirostris [laniirostris Group]
,Euphonia laniirostris hypoxantha
,Euphonia laniirostris zopholega
,Euphonia laniirostris laniirostris
Yellow-throated Euphonia,Euphonia hirundinacea
,Euphonia hirundinacea hirundinacea
,Euphonia hirundinacea gnatho
Green-throated Euphonia,Euphonia chalybea
Antillean Euphonia,Euphonia musica
Antillean Euphonia (Hispaniolan),Euphonia musica musica
Antillean Euphonia (Puerto Rican),Euphonia musica sclateri
Antillean Euphonia (Lesser),Euphonia musica flavifrons
Elegant Euphonia,Euphonia elegantissima
,Euphonia elegantissima rileyi
,Euphonia elegantissima elegantissima
,Euphonia elegantissima vincens
Golden-rumped Euphonia,Euphonia cyanocephala
,Euphonia cyanocephala pelzelni
,Euphonia cyanocephala insignis
,Euphonia cyanocephala cyanocephala
Fulvous-vented Euphonia,Euphonia fulvicrissa
,Euphonia fulvicrissa fulvicrissa
,Euphonia fulvicrissa omissa
,Euphonia fulvicrissa purpurascens
Golden-bellied Euphonia,Euphonia chrysopasta
,Euphonia chrysopasta chrysopasta
,Euphonia chrysopasta nitida
Bronze-green Euphonia,Euphonia mesochrysa
,Euphonia mesochrysa mesochrysa
,Euphonia mesochrysa media
,Euphonia mesochrysa tavarae
Spot-crowned Euphonia,Euphonia imitans
Olive-backed Euphonia,Euphonia gouldi
,Euphonia gouldi gouldi
,Euphonia gouldi praetermissa
White-vented Euphonia,Euphonia minuta
,
,
Tawny-capped Euphonia,Euphonia anneae
,
Orange-bellied Euphonia,Euphonia xanthogaster
,
Rufous-bellied Euphonia,Euphonia rufiventris
,
Golden-sided Euphonia,Euphonia cayennensis
,
Chestnut-bellied Euphonia,Euphonia pectoralis
,
,
,
,
,
,
,
,
,
,
,
,
,